CONSTITUENCY,ASSETS,LIABILITIES,NAME,WINNER,GENDER,AGE,VOTES RECEIVED,ELECTION RESULT,HAS CASES
ANANDPUR SAHIB,154637860,,Manish Tewari,1,MALE,53,428045,1,0
ANANDPUR SAHIB,126971695,,Professor Prem Singh Chandumajra,0,MALE,69,381161,2,1
ANANDPUR SAHIB,1408265156,3400824,Sodhi Vikram Singh,0,MALE,62,146441,3,0
ANANDPUR SAHIB,255712677,23667368,Narinder Singh Shergill,0,MALE,51,53052,4,1
ANANTAPUR,11773091,1135547,TALARI RANGAIAH,1,MALE,48,695208,1,1
ANANTAPUR,373887429,84550726,J.C. PAVAN REDDY,0,MALE,45,553780,2,0
ANANTNAG,87620672,,HASNAIN MASOODI,1,MALE,65,40180,1,0
ANANTNAG,140146018,,GHULAM AHMAD MIR,0,MALE,60,33504,2,0
ANANTNAG,8903857,,MEHBOOBA MUFTI,0,FEMALE,59,30524,3,1
ANDAMAN & NICOBAR ISLANDS,132233012,80450870,KULDEEP RAI SHARMA,1,MALE,52,95308,1,0
ANDAMAN & NICOBAR ISLANDS,85140573,4633914,VISHAL JOLLY,0,MALE,46,93901,2,1
AONLA,21766502,3324300,DHARMENDRA KASHYAP,1,MALE,50,537675,1,0
AONLA,241164456,2100000,RUCHIVIRA,0,FEMALE,57,423932,2,1
AONLA,41189445,,KUNWAR SARVARAJ SINGH,0,MALE,64,62548,3,0
ARAKKONAM,1146984897,166365972,S. JAGATHRAKSHAKAN,1,MALE,71,672190,1,1
ARAKKONAM,46023417,7710578,A.K. MOORTHY,0,MALE,55,343234,2,1
ARAKKONAM,82000,50000,N.G. PARTHIBAN,0,MALE,43,66826,3,0
ARAMBAGH,12527597,4244000,APARUPA PODDAR (AFRIN ALI),1,FEMALE,33,649929,1,1
ARAMBAGH,2014593,1875000,TAPAN KUMAR RAY,0,MALE,55,648787,2,1
ARAMBAGH,10448352,17324,SAKTI MOHAN MALIK,0,MALE,59,100520,3,1
ARANI,234564815,33409505,VISHNU PRASAD M K,1,MALE,46,617760,1,1
ARANI,111158268,1884554,ELUMALAI V,0,MALE,63,386954,2,0
ARANI,160000,,SENTHAMIZHAN G,0,MALE,55,46383,3,0
ARANI,2934243,,TAMIZHARASI A,0,FEMALE,37,32409,4,0
ARARIA,5010577,1159200,PRADEEP KUMAR SINGH,1,MALE,52,618434,1,1
ARARIA,76618366,8566199,SARFARAZ ALAM,0,MALE,50,481193,2,1
ARRAH,79971720,,R. K. Singh,1,MALE,66,566480,1,1
ARRAH,682315,,Raju Yadav,0,MALE,36,419195,2,1
ARUKU,141179,,GODDETI. MADHAVI,1,FEMALE,26,562190,1,0
ARUKU,65729020,,KISHORE CHANDRA DEO,0,MALE,72,338101,2,0
ARUKU,2567059,320000,GANGULAIAH VAMPURU.,0,MALE,49,42794,3,1
ARUNACHAL EAST,136628259,,Tapir Gao,1,MALE,54,153883,1,0
ARUNACHAL EAST,353530297,4168771,Lowangcha Wanglat,0,MALE,69,83935,2,0
ARUNACHAL EAST,10452925,,Mongol Yomso,0,MALE,47,22937,3,0
ARUNACHAL EAST,12720974,,Bandey Mili,0,MALE,38,15958,4,0
ARUNACHAL EAST,27303830,,C. C. Singpho,0,MALE,68,11493,5,0
ARUNACHAL WEST,15279000,,KIREN RIJIJU,1,MALE,47,225796,1,0
ARUNACHAL WEST,1002950534,204955775,NABAM TUKI,0,MALE,51,50953,2,1
ARUNACHAL WEST,38265000,,JARJUM ETE,0,FEMALE,56,43920,3,0
ARUNACHAL WEST,300737886,7500000,KHYODA APIK,0,MALE,42,27119,4,1
ASANSOL,59234826,5722184,BABUL SUPRIYO,1,MALE,48,633378,1,1
ASANSOL,101582564,,MOON MOON SEN,0,FEMALE,65,435741,2,0
ASANSOL,1618401,,GOURANGA CHATTERJEE,0,MALE,59,87608,3,1
ASKA,732470,,Pramila Bisoyi,1,FEMALE,70,552749,1,0
ASKA,16175950,17925000,Anita Subhadarshini,0,FEMALE,47,348042,2,0
ASKA,329980,,Rama Krushna Panda,0,MALE,47,59978,3,1
ATTINGAL,144098612,27622685,Adv. ADOOR PRAKASH,1,MALE,63,380995,1,1
ATTINGAL,38448688,3611333,Dr. A. SAMPATH,0,MALE,56,342748,2,0
ATTINGAL,1981638,,SOBHASURENDRAN,0,FEMALE,49,248081,3,1
AURANGABAD (BIH),167895109,3746607,SUSHIL KUMAR SINGH,1,MALE,53,427721,1,1
AURANGABAD (MAH),29562768,6800000,Imtiaz Jaleel Syed,1,MALE,50,389042,1,1
AURANGABAD (MAH),89820322,31390310,Chandrakant Khaire,0,MALE,67,384550,2,1
AURANGABAD (BIH),20394370,471998,UPENDRA PRASAD,0,MALE,55,357169,2,0
AURANGABAD (MAH),8389250,,Harshwardhandada Raibhanji Jadhav,0,MALE,41,283798,5,1
AURANGABAD (MAH),339452909,198464347,Zambad Subhash Manakchand,0,MALE,56,91789,3,0
AUTONOMOUS DISTRICT,20693570,5956209,HOREN SING BEY,1,MALE,49,381316,1,1
AUTONOMOUS DISTRICT,7866276,,BIREN SINGH ENGTI,0,MALE,76,141690,2,0
AUTONOMOUS DISTRICT,6830962,1606436,JONES INGTI KATHAR,0,MALE,68,39583,3,0
AUTONOMOUS DISTRICT,53785471,5000000,HOLIRAM TERANG,0,MALE,61,36915,4,0
AZAMGARH,377859166,2853000,Akhilesh Yadav,1,MALE,45,621578,1,0
AZAMGARH,59380841,5415364,Dinesh Lal Yadav Nirahua,0,MALE,40,361704,2,1
BADAUN,40372093,,Dr. Sanghmitra Maurya,0,FEMALE,34,511352,1,1
BADAUN,118688322,26510293,Dharmendra Yadav,0,MALE,40,492898,2,1
BADAUN,763872000,5000000,Saleem Iqbal Shervani,0,MALE,66,51947,3,1
BAGALKOT,43980663,7987991,Gaddigoudar Parvatagouda Chandanagouda,1,MALE,68,664638,1,0
BAGALKOT,78375219,26784734,Veena Kashappanavar,0,FEMALE,38,496451,2,0
BAGHPAT,78195793,,Dr. SATYAPAL SINGH,1,MALE,63,525789,1,1
BAGHPAT,275023812,29242618,JAYANT CHAUDHARY,0,MALE,40,502287,2,0
BAHARAMPUR,101315437,8506984,ADHIR RANJAN CHOWDHURY,1,MALE,63,591106,1,1
BAHARAMPUR,47930322,2119820,APURBA SARKAR (DAVID),0,MALE,55,510410,2,1
BAHARAMPUR,6200,,KRISHNA JOYARDAR,0,MALE,55,143038,3,0
BAHRAICH,45691463,3028133,AKSHAIBAR LAL,1,MALE,73,525982,1,0
BAHRAICH,11162030,,SHABBIR BALMIKI,0,MALE,60,397230,2,1
BALAGHAT,88648133,1530693,DR DHAL SINGH BISEN,1,MALE,66,696102,1,0
BALAGHAT,10237135,,MADHU BHAGAT,0,MALE,53,454036,2,0
BALAGHAT,20550745,2200000,KANKAR MUNJARE,0,MALE,68,85177,3,1
BALAGHAT,44244840,,BODHSINGH BHAGAT,0,MALE,62,47220,4,0
BALASORE,1346236,160,PRATAP CHANDRA SARANGI,1,MALE,64,483858,1,1
BALASORE,726151097,63341667,RABINDRA KUMAR JENA,0,MALE,51,470902,2,0
BALASORE,1042005000,1079582000,NAVAJYOTI PATNAIK,0,MALE,46,179403,3,0
BALLIA,24498319,,Virendra Singh,1,MALE,62,469114,1,1
BALLIA,26500222,531827,Sanatan Pandey,0,MALE,56,453595,2,1
BALURGHAT,5825866,2168170,Sukanta Majumdar,1,MALE,39,539317,1,0
BALURGHAT,2824728,,Arpita Ghosh,0,FEMALE,52,506024,2,0
BALURGHAT,4632504,,Ranen Barman,0,MALE,50,72990,3,0
BALURGHAT,21868500,9884000,Abdus Sadek Sarkar,0,MALE,40,36783,4,1
BANASKANTHA,41819177,4500000,PARBATBHAI SAVABHAI PATEL,1,MALE,70,679108,1,0
BANASKANTHA,40404078,2164385,PARTHIBHAI GALBABHAI BHATOL,0,MALE,75,310812,2,1
BANASKANTHA,763763,70000,THAKOR SWARUPJI SARDARJI,0,MALE,39,48634,3,0
BANDA,55794086,,R.K. SINGH PATEL,1,MALE,59,477926,1,1
BANDA,655645059,,SHYAMA CHARAN GUPTA,0,MALE,74,418988,2,0
BANDA,43232650,13868284,BALKUMAR PATEL,0,MALE,59,75438,3,1
BANGALORE CENTRAL,755529306,312521957,P. C. Mohan,1,MALE,55,602853,1,0
BANGALORE CENTRAL,158434648,45079101,Rizwan Arshad,0,MALE,39,531885,2,0
BANGALORE NORTH,209384539,104302653,D.V. Sadananda Gowda,1,MALE,66,824500,1,0
BANGALORE NORTH,132509044,15596951,Krishna Byregowda,0,MALE,46,676982,2,0
BANGALORE RURAL,3388920717,519320305,D.K. SURESH,1,MALE,52,878258,1,1
